"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"BBmisc","BBmisc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.11",NA,NA,"utils, methods, stats, checkmate (>= 1.8.0)",NA,"testthat, microbenchmark, codetools",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"bbmle","bbmle","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.20",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"bbplot","bbplot","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2",NA,"R (>= 3.3.0)","ggplot2, png, grid, ggpubr, dplyr, data.table",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.1"
"bdsmatrix","bdsmatrix","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-3",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","3.5.0"
"beepr","beepr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3",NA,NA,"stringr (>= 1.0.0), audio",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"betareg","betareg","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.1-0",NA,"R (>= 3.0.0)","graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",NA,"car, lattice, partykit, strucchange",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"BH","BH","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.69.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","3.5.2"
"bibtex","bibtex","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.2",NA,"R (>= 3.0.2)","stringr, utils",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"biglm","biglm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9-1",NA,"DBI, methods",NA,NA,"RSQLite, RODBC","leaps","GPL",NA,NA,NA,NA,"yes","3.5.0"
"bigrquery","bigrquery","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.0",NA,"R (>= 3.1)","assertthat, bit64, DBI, curl, glue (>= 1.3.0), httr, jsonlite,
methods, prettyunits, progress, Rcpp, tibble","progress, rapidjsonr, Rcpp","DBItest, dbplyr, dplyr (>= 0.7.0), hms, testthat, withr,
covr, readr, sodium",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
"bindr","bindr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"bindrcpp","bindrcpp","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.2",NA,NA,"bindr (>= 0.1.1), Rcpp (>= 0.12.16)","plogr, Rcpp","testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"binGroup","binGroup","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.1-1",NA,NA,"graphics, partitions, stats, utils",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"bit","bit","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-14",NA,"R (>= 2.9.2)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"bit64","bit64","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9-7",NA,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"bitops","bitops","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"blob","blob","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.1",NA,NA,"methods, prettyunits",NA,"covr, pillar (>= 1.2.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"bmp","bmp","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3",NA,NA,NA,NA,"pixmap, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"boot","boot","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-20","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","3.5.1"
"BradleyTerry2","BradleyTerry2","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-8",NA,"R (>= 2.10)","brglm, gtools, lme4 (>= 1.0), qvcalc, stats",NA,"prefmod","gnm","GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"brew","brew","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.0"
"brglm","brglm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6.1",NA,"R (>= 2.6.0), profileModel",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"bridgesampling","bridgesampling","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4-0",NA,"R (>= 3.0.0)","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"brms","brms","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.4.0",NA,"R (>= 3.2.0), Rcpp (>= 0.12.0), ggplot2 (>= 2.0.0), methods","rstan (>= 2.17.2), loo (>= 2.0.0), Matrix (>= 1.1.1), mgcv (>=
1.8-13), rstantools (>= 1.3.0), bayesplot (>= 1.5.0), shinystan
(>= 2.4.0), bridgesampling (>= 0.3-0), matrixStats, nleqslv,
nlme, coda, abind, stats, utils, parallel, grDevices, backports",NA,"testthat (>= 0.9.1), RWiener, future, mice, spdep, mnormt,
lme4, MCMCglmm, ape, arm, statmod, digest, R.rsp, knitr,
rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"Brobdingnag","Brobdingnag","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-5",NA,"R (>= 2.13.0), methods",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"broom","broom","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5.0",NA,"R (>= 3.1)","backports, dplyr, methods, nlme, purrr, reshape2, stringr,
tibble, tidyr",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot, brms,
btergm, car, caret, coda, covr, e1071, emmeans, ergm, gam (>=
1.15), gamlss, gamlss.data, gamlss.dist, geepack, ggplot2,
glmnet, gmm, Hmisc, irlba, joineRML, Kendall, knitr, ks,
Lahman, lavaan, lfe, lme4, lmodel2, lmtest, lsmeans, maps,
maptools, MASS, Matrix, mclust, mgcv, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, plyr, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, rsample, rstan, rstanarm,
sp, speedglm, statnet.common, survey, survival, testthat,
tseries, xergm, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"BRRR","BRRR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2",NA,NA,"audio,
stringr (>= 1.0.0),
utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,NA,"3.5.1"
"btergm","btergm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.9.1",NA,"R (>= 2.14.0), xergm.common (>= 1.7.7), ggplot2 (>= 2.0.0)","stats4, utils, methods, graphics, statnet (>= 2015.11.0),
statnet.common (>= 3.3.0), network (>= 1.13.0), sna (>= 2.3.2),
ergm (>= 3.5.1), texreg (>= 1.34.4), parallel, Matrix (>=
1.2.2), boot (>= 1.3.17), coda (>= 0.18.1), stats, ROCR (>=
1.0.7), speedglm (>= 0.3.1), igraph (>= 0.7.1), RSiena (>=
1.0.12.232)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"C50","C50","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.2",NA,"R (>= 2.10.0)","partykit, Cubist (>= 0.2.1)",NA,"recipes, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"ca","ca","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.70",NA,"R (>= 3.0.0)",NA,NA,"rgl (>= 0.64-10), vcd",NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"Cairo","Cairo","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5-9",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"callr","callr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0.4",NA,NA,"processx (>= 3.1.0), R6, utils",NA,"covr, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"car","car","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.0-0",NA,"R (>= 3.2.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",NA,"alr4, boot, coxme, leaps, lmtest, Matrix, MatrixModels, rgl
(>= 0.93.960), sandwich, SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"carData","carData","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.0-1",NA,"R (>= 3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"caret","caret","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","6.0-80",NA,"R (>= 2.10), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.1.0), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.0.1),
withr (>= 2.0.0)",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, mda, mgcv,
mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls, pROC,
proxy, randomForest, RANN, spls, subselect, pamr, superpc,
Cubist, testthat (>= 0.9.1), rpart, dplyr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"CarletonStats","CarletonStats","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3",NA,NA,NA,NA,"MASS",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"catdata","catdata","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.1",NA,"MASS",NA,NA,"rms, qvcalc, glmmML, nnet, pscl, VGAM, gee, mlogit, Ecdat,
geepack, mgcv, rpart, party, ordinal, lme4, vcdExtra, glmnet,
mboost, class, e1071, flexmix, lqa, lpSolve, GAMBoost,
penalized",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"caTools","caTools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.17.1.1",NA,"R (>= 2.2.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"cellranger","cellranger","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"changepoint","changepoint","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.2.2",NA,"R(>= 3.1), methods, stats, zoo(>= 0.9-1)",NA,NA,"testthat",NA,"GPL",NA,NA,NA,NA,"yes","3.5.0"
"checkmate","checkmate","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.8.5",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, bit, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"chemometrics","chemometrics","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.2",NA,"R (>= 2.10), rpart","class, e1071, MASS, nnet, pcaPP, robustbase, som, lars, pls,
mclust",NA,"gclus",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"chron","chron","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.3-52",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"class","class","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","7.3-14","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.1"
"classInt","classInt","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2-3",NA,"R (>= 2.2), spData (>= 0.2.6.2)","grDevices, stats, graphics, e1071, class",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"cli","cli","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.1",NA,"R (>= 2.10)","assertthat, crayon (>= 1.3.4), methods, utils",NA,"covr, fansi, mockery, testthat, webshot, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"clipr","clipr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.1",NA,NA,"utils",NA,"rstudioapi (>= 0.5), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"clisymbols","clisymbols","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"clubSandwich","clubSandwich","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.2",NA,"R (>= 3.0.0)","stats, sandwich",NA,"Formula, knitr, carData, geepack, metafor, robumeta, nlme,
mlmRev, AER, plm (>= 1.6-4), lme4, zoo, testthat, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0.7-1","recommended","R (>= 3.2.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.1"
"clusterSEs","clusterSEs","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.5",NA,"R (>= 3.3.0), AER, Formula, plm, stats","sandwich, lmtest, mlogit, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"cobs","cobs","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-3",NA,"R (>= 2.15.1)","SparseM (>= 1.6), quantreg (>= 4.65), grDevices, graphics,
splines, stats, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"coda","coda","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.19-1",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2-15","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.5.1"
"coin","coin","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-2",NA,"R (>= 2.14.0), methods, survival","stats, modeltools (>= 0.2-9), mvtnorm (>= 1.0-5), multcomp",NA,"parallel, xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"colorRamps","colorRamps","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.3",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.5.0"
"colorspace","colorspace","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4-0",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
"colourpicker","colourpicker","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs, utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"combinat","combinat","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.0-8",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.0"
"commonmark","commonmark","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5",NA,NA,NA,NA,"curl",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,NA,NA,NA,NA,"Part of R 3.5.1",NA,NA,NA,NA,NA,"3.5.1"
"CompQuadForm","CompQuadForm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"convey","convey","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.1",NA,"R (>= 3.2.1)","survey, methods",NA,"testthat, knitr, rmarkdown, IC2, vardpoor, DBI, RODBC,
MonetDBLite",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"coRanking","coRanking","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.3",NA,NA,"methods, graphics, stats, Rtsne, scatterplot3d",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"corpcor","corpcor","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.6.9",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"corrplot","corrplot","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.84",NA,NA,NA,NA,"knitr, RColorBrewer, testthat",NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"covr","covr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.1.0",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2)",NA,"R6, knitr, rmarkdown, shiny (>= 0.11.1), htmltools,
htmlwidgets (>= 0.7), DT (>= 0.2), testthat, rstudioapi (>=
0.2), xml2 (>= 1.0.0), parallel, memoise, mockery",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"cowplot","cowplot","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9.4",NA,"R (>= 3.3.0), ggplot2 (>= 2.1.0),","grid (>= 3.0.0), gtable (>= 0.1.2), plyr (>= 1.8.2),
grDevices, methods, scales, utils",NA,"covr, gridGraphics, knitr, rmarkdown, magick, maps, dplyr,
tidyr, testthat, vdiffr, viridis",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.2"
"coxme","coxme","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.2-10","optional","survival (>= 2.36.14), methods, bdsmatrix(>= 1.3)","nlme, Matrix (>= 1.0)","bdsmatrix","mvtnorm, kinship2",NA,"LGPL-2",NA,NA,NA,NA,"yes","3.5.0"
"crayon","crayon","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3.4",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"crosstalk","crosstalk","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.0",NA,NA,"htmltools (>= 0.3.5), jsonlite, lazyeval, R6, shiny (>= 0.11),
ggplot2",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"cubature","cubature","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4",NA,NA,"Rcpp","Rcpp","testthat, knitr, mvtnorm, R2Cuba, benchr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"Cubist","Cubist","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.2",NA,"lattice","reshape2",NA,"mlbench, caret, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"curl","curl","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.3",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
